Species,Age,Sex,Wing,Weight,Tail,Year
RT,I,"",403,1350,140,2003
RT,I,"",375,1010,218,2003
RT,I,"",373,960,222,2003
RT,I,"",385,1370,233,2003
SS,I,F,143,170,159,2003
SS,I,M,162,100,136,2003
RT,I,"",392,1250,222,2003
RT,I,"",372,915,203,2003
RT,I,"",375,850,218,2003
RT,I,"",415,1285,242,2003
SS,A,M,161,95,129,2003
RT,A,"",380,1005,205,2003
RT,A,"",411,1220,236,2003
SS,A,M,161,95,121,2003
SS,I,M,165,100,134,2003
RT,I,"",393,1265,233,2003
RT,I,"",370,1020,211,2003
CH,A,M,230,360,186,2003
RT,I,"",365,895,217,2003
RT,I,"",371,1160,218,2003
RT,I,"",400,1585,241,2003
RT,A,"",382,1140,218,2003
RT,A,"",371,1115,208,2003
RT,A,"",370,1145,212,2003
SS,A,F,194,185,152,2003
RT,A,"",347,990,203,2003
RT,I,"",363,945,218,2003
SS,I,F,195,165,153,2003
RT,A,"",392,1030,196,2003
CH,I,M,220,320,184,2003
SS,I,F,193,105,156,2003
RT,I,"",365,990,217,2003
RT,A,"",387,1065,212,2003
RT,I,"",400,1050,237,2003
RT,I,"",362,840,206,2003
SS,I,F,198,190,158,2003
SS,I,F,190,200,157,2003
SS,I,F,197,185,157,2003
RT,A,"",370,1000,201,2003
SS,I,F,200,185,158,2003
RT,A,"",360,1325,224,2003
RT,A,"",366,945,199,2003
RT,A,"",402,1350,219,2003
RT,I,"",366,805,217,2003
RT,I,"",380,1525,224,2003
SS,I,F,190,175,150,2003
RT,I,"",360,790,211,2003
RT,I,"",369,860,207,2003
RT,A,"",199,1290,222,2003
